Id,ArrivalTime,FlightNumber
Q0Y1O6CR1SKHJ8CGTWM4,18425.84916892011,BM2616
0RMHO3KWDA14LHGQJ68Q,14655.858003889782,BM2616
KPO6X27GTDW7XLZE6HZU,12717.701375708177,BM2616
V030CS9ENFWREU3596XM,13944.631841263792,BM2616
Y8MOM7XGDP5B80QV659L,16657.822025061283,BM2616
0MT6P2WFD8KQDNNG1QHR,16160.043950260133,BM2616
TYQQBIJ1RSX8TB1Z2H0L,17586.51690447964,BM2616
NV7KUEARJML65WN17FCG,9106.285121659166,BM2616
BG1NL3A60R92VG123F0D,16781.74235498215,BM2616
HISJVJF7JTIFTBMCTG2M,11540.458696518375,BM2616
E926DRSZIIB50A1YNLLC,13756.165898552263,BM2616
1D1NF9PJIN7F06HLFURG,14524.116090839707,BM2616
E6NRA4X5XP3ER4D08VQ4,12665.504223641688,BM2616
SE5G36OP1UV8S162672N,17617.729757050325,BM2616
WOA239BFWL5ROHS0HKLO,14050.269497736972,BM2616
9I5NL52YWF05FAK0QHDL,16258.79453948974,BM2616
UU0OSL7MKS8T4GOXWRM1,11889.740242161117,BM2616
TB5TQITCJN3HXNEL8MJR,12074.112523215541,BM2616
GXYEQJCBIGLSYWK2R4EA,15449.857315523645,BM2616
WSYXGEG09PHSIGA2W3IB,15862.189342743703,BM2616
5CTZ0G7X4GUOGCVQS2OE,12806.219319162048,BM2616
5BTDAWPBIWR5QIXNQH0C,14883.79344291893,BM2616
KMIZ1FTYWSB0LAQWT1YX,8892.912111878226,BM2616
UWSIZSTDJJB24DU7U3N7,12974.724001617062,BM2616
7PIIQ1LHZO74126N3PX8,17148.58959998737,BM2616
NU9EV2M041KRSJV28XMC,15264.779499117114,BM2616
527AZSWVPYE03YTXG2YB,13694.287655585385,BM2616
RAB8S5ZT2ZC6WAJB52HD,16887.05283444086,BM2616
ERF3TM0V23O244WAGLV0,16455.388421751428,BM2616
7XGE1326YH47SVHDC9TR,15910.947868628116,BM2616
TAZ3PP9GZW42TVC7QQ0O,13454.554116920885,BM2616
1MSMMDNH1XEXLVKUN3TZ,15396.693571622513,BM2616
RYLPSNYSUIUE9X6XB284,16395.087480578448,BM2616
IZ7XNYWY7Q7I996UVLK4,15789.664970777452,BM2616
SNCCQDBXHCIX2JELV2DN,13580.85091403568,BM2616
GXA3UDFBCGU255XDOG95,15071.61608856297,BM2616
