Id,ArrivalTime,FlightNumber
N2CWT83HPE1E0EPLX2MO,13984.73883425774,BM2616
VOKYXFUWMQH59OY266Y9,13164.40886830926,BM2616
VNBAS3IFDCDAOL1SG5O7,7679.995353461558,BM2616
0WF8LTMJTLE5YUJBIE0V,12945.274700454946,BM2616
DF6WBLRTMKL0DMKZ1CE9,12297.547485224592,BM2616
Y6E361R2JLSXW4ETO6E7,15754.260400469739,BM2616
O0GU9PPJW8O5NOS0PKN4,17276.98705501078,BM2616
Z5ISRA0PEJVAO8UN803A,15869.376599629833,BM2616
UFZJ20D4S3ATLPMMXNRS,15078.76852412356,BM2616
EG4YJE9XZU09IV1JVAXC,16786.02896123839,BM2616
8AFHD3NLPAET5JIDLGEX,19342.747388703025,BM2616
OJ9YV4OW4DCEAVKDVBIW,14221.718831397046,BM2616
IFKM3A27G8BWT02D1S74,16229.360550186178,BM2616
UF07U0WBB6KCBNPUC78B,14584.418036696612,BM2616
F67S9M173A024CL4PJ5F,14249.108009215892,BM2616
K7PW3J8VR9OY8YFKHVTT,13365.95350003833,BM2616
0E5DQ6ILENZXKQ4E8JIB,16554.853913738294,BM2616
C5PC7GY1IOQ06EM07DFL,10900.48848018574,BM2616
77ZW4VPUEXFT1L7XKMVM,9723.406849949395,BM2616
DQ6GJ7Z0WUEDH09G8KHE,17448.060722772512,BM2616
2V4EMVGHBU2ERLZTSG0X,15978.483218610656,BM2616
HB91SSMF16YA7LQJHM6M,18297.22439975526,BM2616
SNIQQ8S36U0ACJVD011F,11404.108441755818,BM2616
ZPX9YVABBLO38CEB7085,15996.736955605142,BM2616
YHOYYYQBO1SXZ4TGTMC5,17478.212242948153,BM2616
R206JV2DQI816YD0335Y,15427.589314456949,BM2616
NABAWGQW7GQFKV3HHIYF,14470.115645670612,BM2616
1D207F24S7HCVDIK08G0,15153.427549200398,BM2616
H4CEIF495NL1NR3QZ4N9,17218.350578690843,BM2616
Z6ARVQL6W36167NZCMSR,12119.683015829009,BM2616
X0NAA52UGLJZDEOLEOOM,14963.997575634421,BM2616
KKA9B8PW9BPXRG3L63DY,11383.785288127281,BM2616
O0LWELCBVN6A9NE5PUT5,14713.009112439566,BM2616
V3VL2K5CKJ499KTCJ60V,16305.505052793014,BM2616
TQQHJOSYEDB6GPMOL8XJ,11895.873001559028,BM2616
PX4DMCWEXMN12UB16RIK,15160.6948502785,BM2616
RI5A5AWJCDD1ZSE04K0X,13080.449454999838,BM2616
C53LTJPMJQRP1M3HB2J5,15579.168978982783,BM2616
SGDREQQXEDLX0PCQWGIN,11829.233739676878,BM2616
QD6Z82G56FLRUDXRRTCE,12409.389620968564,BM2616
4UPT1Z22H5P6ANIVIDU1,12728.866828412825,BM2616
D9UP7T4YNYVSTN6AV0RQ,12418.593382320349,BM2616
1MEX4CSCP9HDOOR2YWHW,10409.174344343955,BM2616
267T6L7HKEA4DCLUTEPT,13428.576698370105,BM2616
YOF9UVB45272J7CLGND5,16173.014771262104,BM2616
L2BCOLTFO132EJX2RLM1,11179.118957615365,BM2616
HOWE8C7PWP3J9C46WRW7,12068.817314516868,BM2616
6IY7FVHUKI0IH4BIU2V6,15001.59591560978,BM2616
YEDYB03WBOKYIAI857FM,16136.220366328394,BM2616
7MO4744N00J2TAOWJFT1,16671.702132457696,BM2616
5759GGEXFG82A3BHWBT1,12931.439372577595,BM2616
U5XGIIFDLHH6NSBL6S0Q,11237.60083502467,BM2616
BHL07VXRJ4R0J4RE2155,14423.554880520314,BM2616
CCWRTUIQLS3BXCW43HUR,17601.294689541242,BM2616
HC6ICJ8P6JTU6VW452WQ,15525.927083408063,BM2616
DMJ8VQX25YQWY7IY8S4E,11650.254565815803,BM2616
1I7J0OALK5W0L80J1034,8448.528850178722,BM2616
I9S63PFYMLOSA55RCHQG,17856.61429170706,BM2616
QOSSM5ORUGIQZ900XIKP,16132.562047509105,BM2616
37EK7YMA9YXYDDS3XU9R,12932.523211502652,BM2616
RBFRNRQHLQTQFV3FIT16,14192.51616024275,BM2616
XMXUNIKAXDU0G3QD0NRM,15821.29879437433,BM2616
6ZMNV8LK3XJSVRFTXHXH,15223.917415752216,BM2616
1CB2XD9UON0C0LQ9AJUU,10150.996251321993,BM2616
8SYPXC0MNQ12XYDCMAVP,13850.1490732082,BM2616
DC4GFQTGQLB3KOGRBKEZ,7221.807605160806,BM2616
QT4SB54GB23HIQ8YJ5CU,11245.019901953387,BM2616
EANUURJZBTA1MFPOOXR5,14149.518842011626,BM2616
N0LLYEMI4MEF37F9SFSH,11290.48675637498,BM2616
HQBV91IEJMHYYD2QLXST,18153.36085341331,BM2616
EGVLE959UREMHG0W7E58,13674.373372635899,BM2616
GYV81VAWFP6P15DAD2HD,11568.633160674286,BM2616
1XD1UMRVWRNY7BB1K2ID,12191.871525026068,BM2616
2UI8T4U3VOK6HFWMSJXE,13848.312353533662,BM2616
NIPZM6LL1HAIGQOJP1OP,17274.467147176838,BM2616
WLC6G0KDBB0FYKCRDDHP,15124.206511744058,BM2616
EIEPOK49H90YIGK50EAA,13903.934861174974,BM2616
3LWV3NHKW4QM4XBWQGCJ,13298.922703389113,BM2616
THNYCQP7KK9ICQI82ZHE,15428.3764353947,BM2616
IYV7WVUCRDIR2JHNIKAE,13548.851097884095,BM2616
R7WRGE2GJUHQN7JTL46B,18755.914311704262,XC6333
OF7FXIHJH8UJBA60FRPO,18013.137124589943,XC6333
WZJ7ZWS1Q6J47I13JKNE,16701.06011609246,XC6333
CSMN1V7JWLFV8MTWR8L3,16593.07288517189,XC6333
2658VQCLVVSM63F33ONG,13066.819145597407,XC6333
PY93YYLMFL56YEVEZAYQ,17213.996369884666,XC6333
84METXZUD7F5RDM61DSP,16668.42081902329,XC6333
1TM6GU1HTSHV376H0J2E,20407.908963353802,XC6333
CNBPIXLKZARLACK8K67X,19497.117326113916,XC6333
761V3K9J1A5C28OHESPN,14945.994008909123,XC6333
9RJ3OTTH7MH6B7OZ3YVY,18479.30056050552,XC6333
E91MMUIHS46OXYK6ZXL5,13564.330171460271,XC6333
68I59CLVKLGGBWX9WDDC,17228.1480729069,XC6333
8HLM2B9YDHM5W9KP1X6O,17352.965652790575,XC6333
7EOW61MFCK9J6OQYRY8G,17716.302531307076,XC6333
VL13XPJMLTA0QFHLNLOA,18912.16129051159,XC6333
C7JV7NBC4M9GBLR96LI3,12664.301021424415,XC6333
PRPXBKBBCZNBH9AZK1BA,17150.021876761675,XC6333
RNK49YKXYP17XTCE40GY,14555.304720613241,XC6333
5ZMBFMM3PG03NPRZNQL5,15465.93559715225,XC6333
W8LJJLE2HCMHXNBBYQUF,16246.765839217915,XC6333
IDQB43GSKQ23ZZEQ7MHO,16761.855245084724,XC6333
YI5Q2XK4XWR51JZKY3S8,18801.554107208216,XC6333
LKZ79HFHPD1SOKB8B4ZM,18787.705829397586,XC6333
IZ1WCSTO0X68I3V5N6EB,9243.877437049592,XC6333
3MC2XMO79LNFWPVRXG0R,18215.729111563494,XC6333
BZ3U758AC4HXDTZ4M8UF,12558.35964771789,XC6333
HHJGERFDGBXVDKAGV29A,16742.644777508485,XC6333
E0JLY9F4GEN9XSFF3ZO3,17036.462659401423,XC6333
LFV6JEYXJSICZH8RHT1D,13183.003184243726,XC6333
0AU0DMSEMJ7QZTTJYVZ8,16434.60415820146,XC6333
OO36L6U0QVTAYKUZ9XAP,15474.414870308501,XC6333
7XMIXIKTSU0SAP1F4DYA,15750.925462011102,XC6333
36E0W0EFHAUEZNCW9P28,13296.522358668974,XC6333
1JM50JVD56A1WXR1OGXQ,14481.803937737186,XC6333
6ZOBS8MKG90E5Y6RQ9C8,19043.651636907594,XC6333
QW9PWY6GH3SWP8EZ3J6Y,15430.309409096324,XC6333
QBP68E8DO3LS0TQT4Y3L,14066.002115889385,XC6333
LRF61X09NY7UQPXX95NP,13845.702750998826,XC6333
YP1LK2ULYZDUE1VWKLHM,11626.88948956587,XC6333
ARNTYREKOE86QVEC5L2L,10112.9006554283,XC6333
C3JVE2JEHN0C4IFENMH5,17745.125073531886,XC6333
WEPHKAY977SFZVIL2GPU,16341.799646870728,XC6333
UOQH1ET5EK9VAZIM1HHK,19604.808230005507,XC6333
R8HEBUEFIKYIKU27QBN7,14313.271838586512,XC6333
78WJALY9ZULG8ZGVDLNQ,17057.08300972684,XC6333
8W3W63ECPOJISI801NN8,13663.117756719723,XC6333
35OZJYNMYVUKFPJUIGLE,14536.89772694348,XC6333
1IR7906ABUFYB9VBYHRF,15706.534042269068,XC6333
MDCBHTJRXSKGSD5EYPRC,17099.78321722377,XC6333
Y0V11Q5VN17NHSGPZ7ZB,16311.051640386882,XC6333
7NNKZXZ2X7QZWUIDXIY9,16186.780174605767,XC6333
E77CEEKS0LTTRKBX13O2,19059.40537841618,XC6333
PNH6TXEK8BGVHHLJE7H4,17022.282637840268,XC6333
PC3593JYGKRIHAF9DAUN,17616.763879978767,XC6333
2FYZQ5GVA667NHDOIJGA,16878.246373122518,XC6333
56CE3X19Y3BDOLGMP07N,16674.583979817875,XC6333
605Y4OD41ZFXYYJL5FOD,11766.328568810324,XC6333
0NZNUUD755I1Y038QCBH,11776.087239672386,XC6333
T9BVW2LTPK1QEDUZZ1SX,18989.41007780906,XC6333
DRBGXDT9KYRQESN5ECN5,19569.481791124068,XC6333
X18PAG4C0OV8ZL19GQJ2,16665.868485275267,XC6333
O4KTL78JGNAQ9WE2JU3V,15859.12445621443,XC6333
