Id,ArrivalTime,FlightNumber
7O1DI6ZZLYE4GSYGK0HU,14221.55917928063,BM2616
NRHKHV50ANCFG288O5Z1,16133.728107050367,BM2616
PFC40BNQMV1A7S078QLU,16539.602576085454,BM2616
RLI42I8RPWO4LFE25B8T,13332.533304360673,BM2616
3MVXE5G5XH73GSTDF0BJ,15998.475458837227,BM2616
LMANC0E0SLCL983H3HL0,14678.516316491317,BM2616
7P2TZTSHTBH412DMRAFO,11599.765362783524,BM2616
WIVG16Y0FQ9F20VDTJSS,11411.782642817192,BM2616
2A55S44BJJAGE6E2LQPQ,15413.960315216464,BM2616
LQFUU8HBE8Q60DIBKTVQ,14103.960110118882,BM2616
ZIJ6RC9XS2LDJ4QQG1CE,14862.183942772117,BM2616
YMECD5J7GT76QUBQCFY6,14071.799185887186,BM2616
VEUFN7L1SBO67JFCTKQH,15136.615815025638,BM2616
8Y01DA308ICBLZQ4QALF,15944.32204171041,BM2616
ZKK8JJTPYRNOZVSIN2D7,13686.240342542806,BM2616
U2LG7OLWM0JXTLFOWNMD,15469.885002117771,BM2616
FGRUB2BNOWOOECSDAQ0T,15236.525597228718,BM2616
9E294M0X4UOGCH1ZH16U,15307.194157671744,BM2616
4KH1BUNTZOI1DGHNXGX1,16639.84710718141,BM2616
O6U3KKQB8RH1L0P89L5K,17275.280697259885,BM2616
VKQ85C3Q32HL1IV04NWY,15159.681326301408,BM2616
Q8QCPFZ7JV193NWEWK1C,15359.459805442162,BM2616
C3ESP2L21MB5P9Y2BK1A,15338.526139088262,BM2616
63MI0R1RBAVXL168F0I9,17530.217357634425,BM2616
NJVA4HUP2SL624ACTIAA,16839.443251540983,BM2616
QUM1O7CLW9CGGXCXRJ5Z,13385.104008263392,BM2616
X4XRPH0TM21L1SQ941NV,11855.770488852319,BM2616
V39HIRP081R3QK8F09NT,15004.770244982326,BM2616
R16BFAMVJK1HHDMAJO6G,13306.882118247371,BM2616
FL559SQ8SR1AQPBW9E01,12443.899411399425,BM2616
P3NKUNGU398NQE3U6ZDO,14530.502722714322,BM2616
AQUWRMIPVZEVQHWAN0OP,14503.737680855298,BM2616
RTYVYKLIU9T6G6SV4NEX,17314.04075442639,BM2616
ISACRF7HHX25M0XJP12X,16537.4888003441,BM2616
C8ZHO0QBPN52OLJ85TKH,15571.511786027153,BM2616
Z4O5NAISAPRHM2I9YT6T,15431.027322125941,BM2616
DUTBOPV7YRBUQ8BQ0QOI,16299.760817574792,BM2616
P1G8LX1U8GYO3HH0IKTB,13840.476932085625,BM2616
3PT0CWPJ1CXF5K56VEGQ,18996.03991601721,BM2616
MUA81GTH5EJNUFWMEJNI,11133.57306851204,BM2616
NUCBN83FSN08IGRWHISA,14866.601928618047,BM2616
UT1GSEBTV5O4POOKH09L,13580.032860613579,BM2616
7AGHSG8L8UWN2TARBP7Y,14600.64812612683,BM2616
8VFKRHZ4Y5ACOPDEYP6O,13514.007730124005,BM2616
48DZX8KDCJHQBSHPS5PT,14659.04011687902,BM2616
891QXP6EGOTWJCCIKTGY,10406.061090705552,BM2616
X8W01RD3BMY1LBZDA516,15547.271043936606,BM2616
TK1II2B2GXP3APJMHB20,13976.8750148762,BM2616
VLFIB4YLMYA9KOZ2I9U9,11804.645027707393,BM2616
